market,tick,n,fill,reg_mean,reg_med,reg_p5,best_cap,cap_mean,cap_med,cap_p5,v_market,v_vwap
EuroStoxx,0.5,154,0.7792207792207793,0.11038961038961038,3.0,-12.0,16,0.2077922077922078,3.0,-16.0,0.11038961038961038,0.5854300191999873
GBP - British Pound,0.01,369,0.7208672086720868,0.06504065040659125,1.999999999999602,-6.999999999999318,16,-0.04607046070455359,1.0000000000005116,-7.0000000000001705,0.06504065040659125,0.19073454451571548
German Bunds - German Government Bonds,0.01,52,0.7884615384615384,0.34615384615347666,0.9999999999990905,-3.9000000000005737,10,0.2884615384611121,0.9999999999990905,-3.9000000000005737,0.34615384615347666,-0.008646923724269895
Gold,0.1,948,0.7552742616033755,0.011603375527665046,4.0000000000009095,-21.00000000000057,4,0.9852320675103936,3.000000000001819,-4.0000000000009095,0.011603375527665046,-0.28789588076400563
HeatingOil,0.01,13,0.6923076923076923,-35.23076923076823,20.999999999997954,-253.79999999999882,4,9.153846153845699,6.999999999999318,-4.000000000002046,-35.23076923076823,-37.78525417820246
JPY - Japanese Yen,0.005,621,0.6892109500805152,0.08373590982276044,2.000000000001023,-11.000000000001364,4,0.13526570048328684,0.9999999999990905,-3.999999999999204,0.08373590982276044,0.008109047618444207
Nasdaq,0.25,1568,0.8915816326530612,-1.3278061224489797,5.0,-39.64999999999999,4,2.970025510204082,5.0,-4.0,-1.3278061224489797,0.1843696980043863
