Ablation ladder — is the 27-cell regime conditioning real?
All rungs scored on the SAME decision windows (gated on the conditional cell).
p05 = 5th-percentile slippage (the adverse tail). + = beats a market order at the open.
conditional reproduces run_backtest_rolling at target=0.6 (asserted).

=== Gold (tick=0.1, active days 132/296) ===
market    side tau target rung              n   fill      avg   median p05(tail)
Gold      buy   15    -   persistence   11262 51.4%   -0.223   +2.000    -27.00
Gold      buy   15    -   random        11262 16.4%   -0.066   +1.000    -29.00
Gold      buy   15    -   vwap          11262 100.0%   -0.018   -0.246    -20.18
Gold      sell  30   0.40 conditional    5301 44.4%   +0.278   +6.000    -39.00
Gold      sell  30   0.40 unconditional   5301 46.7%   +0.438   +8.000    -38.00
Gold      sell  30   0.50 conditional    5301 53.7%   +0.325  +10.000    -37.00
Gold      sell  30   0.50 unconditional   5301 55.5%   +0.305  +11.000    -36.00
Gold      sell  30   0.60 conditional    5301 63.7%   +0.272   +8.000    -35.00
Gold      sell  30   0.60 unconditional   5301 64.9%   +0.308   +9.000    -34.00
Gold      sell  30   0.70 conditional    5301 73.5%   +0.242   +6.000    -31.00
Gold      sell  30   0.70 unconditional   5301 74.3%   +0.118   +6.000    -31.00
Gold      sell  30   0.80 conditional    5301 82.1%   -0.040   +4.000    -26.00
Gold      sell  30   0.80 unconditional   5301 83.3%   -0.049   +4.000    -24.00
Gold      sell  30    -   persistence    5301 51.3%   +0.278   +3.000    -38.00
Gold      sell  30    -   random         5301 21.4%   +0.076   +2.000    -41.00
Gold      sell  30    -   vwap           5301 100.0%   -0.274   +0.150    -29.38
Gold      buy   30   0.40 conditional    5301 44.7%   +0.065   +6.000    -39.00
Gold      buy   30   0.40 unconditional   5301 47.3%   -0.182   +8.000    -39.00
Gold      buy   30   0.50 conditional    5301 54.3%   +0.002   +8.000    -38.00
Gold      buy   30   0.50 unconditional   5301 57.3%   -0.153  +11.000    -37.00
Gold      buy   30   0.60 conditional    5301 63.6%   +0.029   +7.000    -35.00
Gold      buy   30   0.60 unconditional   5301 66.2%   -0.002   +8.000    -33.00
Gold      buy   30   0.70 conditional    5301 72.8%   +0.137   +6.000    -31.00
Gold      buy   30   0.70 unconditional   5301 75.4%   +0.022   +6.000    -28.00
Gold      buy   30   0.80 conditional    5301 82.2%   +0.183   +4.000    -25.00
Gold      buy   30   0.80 unconditional   5301 83.7%   -0.022   +4.000    -23.00
Gold      buy   30    -   persistence    5301 51.7%   +0.261   +3.000    -37.00
Gold      buy   30    -   random         5301 20.3%   -0.003   +1.000    -41.00
Gold      buy   30    -   vwap           5301 100.0%   +0.274   -0.150    -27.95
Gold      sell  60   0.40 conditional    2395 44.1%   +0.540  +10.000    -59.30
